concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_PropertyPlantAndEquipment,100238,100238000000,"100,238,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,1,instant,,2024-12-31,,,,,,f-492
ifrs-full_PropertyPlantAndEquipment,104719,104719000000,"104,719,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,1,instant,,2023-12-31,,,,,,f-493
ifrs-full_NoncurrentDerivativeFinancialAssets,16114,16114000000,"16,114,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,10,instant,,2024-12-31,,,,,,f-510
ifrs-full_NoncurrentDerivativeFinancialAssets,9980,9980000000,"9,980,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,10,instant,,2023-12-31,,,,,,f-511
ifrs-full_NoncurrentPrepayments,548,548000000,"548,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,11,instant,,2024-12-31,,,,,,f-512
ifrs-full_NoncurrentPrepayments,623,623000000,"623,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,11,instant,,2023-12-31,,,,,,f-513
ifrs-full_DeferredTaxAssets,5403,5403000000,"5,403,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,12,instant,,2024-12-31,,,,,,f-514
ifrs-full_DeferredTaxAssets,4268,4268000000,"4,268,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,12,instant,,2023-12-31,,,,,,f-515
ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,7457,7457000000,"7,457,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,13,instant,,2024-12-31,,,,,,f-516
ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,7948,7948000000,"7,948,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,13,instant,,2023-12-31,,,,,,f-517
ifrs-full_NoncurrentAssets,179394,179394000000,"179,394,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,14,instant,,2024-12-31,,,,,,f-518
ifrs-full_NoncurrentAssets,176148,176148000000,"176,148,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,14,instant,,2023-12-31,,,,,,f-519
ifrs-full_CurrentLoansAndReceivables,223,223000000,"223,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,15,instant,,2024-12-31,,,,,,f-520
ifrs-full_CurrentLoansAndReceivables,240,240000000,"240,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,15,instant,,2023-12-31,,,,,,f-521
ifrs-full_Inventories,23232,23232000000,"23,232,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,16,instant,,2024-12-31,,,,,,f-522
ifrs-full_Inventories,22819,22819000000,"22,819,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,16,instant,,2023-12-31,,,,,,f-523
ifrs-full_TradeAndOtherCurrentReceivables,27127,27127000000,"27,127,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,17,instant,,2024-12-31,,,,,,f-524
ifrs-full_TradeAndOtherCurrentReceivables,31123,31123000000,"31,123,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,17,instant,,2023-12-31,,,,,,f-525
ifrs-full_CurrentDerivativeFinancialAssets,5112,5112000000,"5,112,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,18,instant,,2024-12-31,,,,,,f-526
ifrs-full_CurrentDerivativeFinancialAssets,12583,12583000000,"12,583,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,18,instant,,2023-12-31,,,,,,f-527
ifrs-full_CurrentPrepayments,2594,2594000000,"2,594,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,19,instant,,2024-12-31,,,,,,f-528
ifrs-full_CurrentPrepayments,2520,2520000000,"2,520,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,19,instant,,2023-12-31,,,,,,f-529
ifrs-full_Goodwill,14888,14888000000,"14,888,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,2,instant,,2024-12-31,,,,,,f-494
ifrs-full_Goodwill,12472,12472000000,"12,472,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,2,instant,,2023-12-31,,,,,,f-495
ifrs-full_CurrentTaxAssets,1096,1096000000,"1,096,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,20,instant,,2024-12-31,,,,,,f-530
ifrs-full_CurrentTaxAssets,837,837000000,"837,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,20,instant,,2023-12-31,,,,,,f-531
ifrs-full_CurrentInvestments,165,165000000,"165,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,21,instant,,2024-12-31,,,,,,f-532
ifrs-full_CurrentInvestments,843,843000000,"843,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,21,instant,,2023-12-31,,,,,,f-533
ifrs-full_CashAndCashEquivalents,39204,39204000000,"39,204,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2024-12-31,,,,,,f-534
ifrs-full_CashAndCashEquivalents,33030,33030000000,"33,030,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2023-12-31,,,,,,f-535
ifrs-full_CashAndCashEquivalents,33030,33030000000,"33,030,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2023-12-31,,,,,,f-724
ifrs-full_CashAndCashEquivalents,29195,29195000000,"29,195,000,000",c-41,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2022-12-31,,,,,,f-725
ifrs-full_CashAndCashEquivalents,30681,30681000000,"30,681,000,000",c-58,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2021-12-31,,,,,,f-726
