concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_ProfitLossBeforeTax,6782,6782000000,"6,782,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,1,instant,,,,,,,,f-51
ifrs-full_ProfitLossBeforeTax,23749,23749000000,"23,749,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,1,instant,,,,,,,,f-52
ifrs-full_ProfitLossBeforeTax,15405,15405000000,"15,405,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,1,instant,,,,,,,,f-53
ifrs-full_ProfitLossBeforeTax,6782,6782000000,"6,782,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,1,instant,,,,,,,,f-592
ifrs-full_ProfitLossBeforeTax,23749,23749000000,"23,749,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,1,instant,,,,,,,,f-593
ifrs-full_ProfitLossBeforeTax,15405,15405000000,"15,405,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,1,instant,,,,,,,,f-594
ifrs-full_AdjustmentsForFinanceCosts,4683,4683000000,"4,683,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,10,instant,,,,,,,,f-619
ifrs-full_AdjustmentsForFinanceCosts,3840,3840000000,"3,840,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,10,instant,,,,,,,,f-620
ifrs-full_AdjustmentsForFinanceCosts,2703,2703000000,"2,703,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,10,instant,,,,,,,,f-621
ifrs-full_InterestPaidClassifiedAsOperatingActivities,2811,2811000000,"2,811,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,11,instant,,,,,,,,f-622
ifrs-full_InterestPaidClassifiedAsOperatingActivities,2950,2950000000,"2,950,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,11,instant,,,,,,,,f-623
ifrs-full_InterestPaidClassifiedAsOperatingActivities,2208,2208000000,"2,208,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,11,instant,,,,,,,,f-624
ifrs-full_AdjustmentsForIncreaseDecreaseInEmployeeBenefitLiabilities,168,168000000,"168,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,12,instant,,,,,,,,f-625
ifrs-full_AdjustmentsForIncreaseDecreaseInEmployeeBenefitLiabilities,241,241000000,"241,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,12,instant,,,,,,,,f-626
ifrs-full_AdjustmentsForIncreaseDecreaseInEmployeeBenefitLiabilities,69,69000000,"69,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,12,instant,,,,,,,,f-627
ifrs-full_AdjustmentsForSharebasedPayments,1174,1174000000,"1,174,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,13,instant,,,,,,,,f-628
ifrs-full_AdjustmentsForSharebasedPayments,616,616000000,"616,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,13,instant,,,,,,,,f-629
ifrs-full_AdjustmentsForSharebasedPayments,795,795000000,"795,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,13,instant,,,,,,,,f-630
bpplc_AdjustmentsForNetOperatingChargeForPensionsAndOtherPostretirementBenefitsLessContributionsAndBenefitPaymentsForUnfundedPlans,182,182000000,"182,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,14,instant,,,,,,,,f-631
bpplc_AdjustmentsForNetOperatingChargeForPensionsAndOtherPostretirementBenefitsLessContributionsAndBenefitPaymentsForUnfundedPlans,193,193000000,"193,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,14,instant,,,,,,,,f-632
bpplc_AdjustmentsForNetOperatingChargeForPensionsAndOtherPostretirementBenefitsLessContributionsAndBenefitPaymentsForUnfundedPlans,257,257000000,"257,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,14,instant,,,,,,,,f-633
ifrs-full_AdjustmentsForProvisions,152,152000000,"152,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,15,instant,,,,,,,,f-634
ifrs-full_AdjustmentsForProvisions,2481,2481000000,"2,481,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,15,instant,,,,,,,,f-635
ifrs-full_AdjustmentsForProvisions,440,440000000,"440,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,15,instant,,,,,,,,f-636
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,808,808000000,"808,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,16,instant,,,,,,,,f-637
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,5634,5634000000,"5,634,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,16,instant,,,,,,,,f-638
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,5492,5492000000,"5,492,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,16,instant,,,,,,,,f-639
ifrs-full_AdjustmentsForDecreaseIncreaseInOtherAssets,3355,3355000000,"3,355,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,17,instant,,,,,,,,f-640
ifrs-full_AdjustmentsForDecreaseIncreaseInOtherAssets,4620,4620000000,"4,620,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,17,instant,,,,,,,,f-641
ifrs-full_AdjustmentsForDecreaseIncreaseInOtherAssets,18584,18584000000,"18,584,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,17,instant,,,,,,,,f-642
ifrs-full_AdjustmentsForIncreaseDecreaseInOtherLiabilities,188,188000000,"188,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,18,instant,,,,,,,,f-643
ifrs-full_AdjustmentsForIncreaseDecreaseInOtherLiabilities,13592,13592000000,"13,592,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,18,instant,,,,,,,,f-644
ifrs-full_AdjustmentsForIncreaseDecreaseInOtherLiabilities,17806,17806000000,"17,806,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,18,instant,,,,,,,,f-645
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,8761,8761000000,"8,761,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,19,instant,,,,,,,,f-646
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,10173,10173000000,"10,173,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,19,instant,,,,,,,,f-647
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,10106,10106000000,"10,106,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,19,instant,,,,,,,,f-648
bpplc_AdjustmentsForExplorationExpenditureWrittenOff,767,767000000,"767,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,2,instant,,,,,,,,f-595
bpplc_AdjustmentsForExplorationExpenditureWrittenOff,746,746000000,"746,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,2,instant,,,,,,,,f-596
bpplc_AdjustmentsForExplorationExpenditureWrittenOff,385,385000000,"385,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,2,instant,,,,,,,,f-597
ifrs-full_CashFlowsFromUsedInOperatingActivities,27297,27297000000,"27,297,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,20,instant,,,,,,,,f-649
ifrs-full_CashFlowsFromUsedInOperatingActivities,32039,32039000000,"32,039,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,20,instant,,,,,,,,f-650
ifrs-full_CashFlowsFromUsedInOperatingActivities,40932,40932000000,"40,932,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,20,instant,,,,,,,,f-651
ifrs-full_PurchaseOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets,15297,15297000000,"15,297,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,21,instant,,,,,,,,f-652
ifrs-full_PurchaseOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets,14285,14285000000,"14,285,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,21,instant,,,,,,,,f-653
ifrs-full_PurchaseOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets,12069,12069000000,"12,069,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,21,instant,,,,,,,,f-654
ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,53,53000000,"53,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,22,instant,,,,,,,,f-655
ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,799,799000000,"799,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,22,instant,,,,,,,,f-656
ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,3530,3530000000,"3,530,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,22,instant,,,,,,,,f-657
ifrs-full_OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,850,850000000,"850,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,23,instant,,,,,,,,f-658
ifrs-full_OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,1039,1039000000,"1,039,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,23,instant,,,,,,,,f-659
ifrs-full_OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,600,600000000,"600,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,23,instant,,,,,,,,f-660
ifrs-full_PurchaseOfInterestsInAssociates,143,143000000,"143,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,24,instant,,,,,,,,f-661
ifrs-full_PurchaseOfInterestsInAssociates,130,130000000,"130,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,24,instant,,,,,,,,f-662
ifrs-full_PurchaseOfInterestsInAssociates,131,131000000,"131,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,24,instant,,,,,,,,f-663
ifrs-full_OutflowsOfCashFromInvestingActivities,16237,16237000000,"16,237,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,25,instant,,,,,,,,f-664
ifrs-full_OutflowsOfCashFromInvestingActivities,16253,16253000000,"16,253,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,25,instant,,,,,,,,f-665
ifrs-full_OutflowsOfCashFromInvestingActivities,16330,16330000000,"16,330,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,25,instant,,,,,,,,f-666
ifrs-full_ProceedsFromDisposalOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleAndDiscontinuedOperations,328,328000000,"328,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,26,instant,,,,,,,,f-667
ifrs-full_ProceedsFromDisposalOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleAndDiscontinuedOperations,133,133000000,"133,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,26,instant,,,,,,,,f-668
ifrs-full_ProceedsFromDisposalOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleAndDiscontinuedOperations,709,709000000,"709,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,26,instant,,,,,,,,f-669
ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,2578,2578000000,"2,578,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,27,instant,,,,,,,,f-670
ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,1193,1193000000,"1,193,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,27,instant,,,,,,,,f-671
ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,1841,1841000000,"1,841,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,27,instant,,,,,,,,f-672
ifrs-full_CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,81,81000000,"81,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,28,instant,,,,,,,,f-673
ifrs-full_CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,55,55000000,"55,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,28,instant,,,,,,,,f-674
ifrs-full_CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,67,67000000,"67,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,28,instant,,,,,,,,f-675
ifrs-full_CashFlowsFromUsedInInvestingActivities,13250,13250000000,"13,250,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,29,instant,,,,,,,,f-676
ifrs-full_CashFlowsFromUsedInInvestingActivities,14872,14872000000,"14,872,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,29,instant,,,,,,,,f-677
ifrs-full_CashFlowsFromUsedInInvestingActivities,13713,13713000000,"13,713,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,29,instant,,,,,,,,f-678
ifrs-full_AdjustmentsForDepreciationAndAmortisationExpense,16622,16622000000,"16,622,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,3,instant,,,,,,,,f-598
ifrs-full_AdjustmentsForDepreciationAndAmortisationExpense,15928,15928000000,"15,928,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,3,instant,,,,,,,,f-599
ifrs-full_AdjustmentsForDepreciationAndAmortisationExpense,14318,14318000000,"14,318,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,3,instant,,,,,,,,f-600
ifrs-full_PaymentsToAcquireOrRedeemEntitysShares,7127,7127000000,"7,127,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,30,instant,,,,,,,,f-679
ifrs-full_PaymentsToAcquireOrRedeemEntitysShares,7918,7918000000,"7,918,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,30,instant,,,,,,,,f-680
ifrs-full_PaymentsToAcquireOrRedeemEntitysShares,9996,9996000000,"9,996,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,30,instant,,,,,,,,f-681
ifrs-full_PaymentsToAcquireOrRedeemEntitysShares,7127,7127000000,"7,127,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,30,instant,,,,,,,,f-808
ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,2833,2833000000,"2,833,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,31,instant,,,,,,,,f-682
ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,2560,2560000000,"2,560,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,31,instant,,,,,,,,f-683
ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,1961,1961000000,"1,961,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,31,instant,,,,,,,,f-684
ifrs-full_ProceedsFromNoncurrentBorrowings,10656,10656000000,"10,656,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfCashFlowsAbstract,32,instant,,,,,,,,f-685
