concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_RevenueAndOperatingIncome,189185,189185000000,"189,185,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,1,instant,,,,,,,,f-3
ifrs-full_RevenueAndOperatingIncome,210130,210130000000,"210,130,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,1,instant,,,,,,,,f-4
ifrs-full_RevenueAndOperatingIncome,241392,241392000000,"241,392,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,1,instant,,,,,,,,f-5
ifrs-full_DepreciationAndAmortisationExpense,16622,16622000000,"16,622,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,10,instant,,,,,,,,f-30
ifrs-full_DepreciationAndAmortisationExpense,15928,15928000000,"15,928,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,10,instant,,,,,,,,f-31
ifrs-full_DepreciationAndAmortisationExpense,14318,14318000000,"14,318,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,10,instant,,,,,,,,f-32
ifrs-full_ImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,6995,6995000000,"6,995,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,11,instant,,,,,,,,f-33
ifrs-full_ImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,5857,5857000000,"5,857,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,11,instant,,,,,,,,f-34
ifrs-full_ImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,30522,30522000000,"30,522,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,11,instant,,,,,,,,f-35
ifrs-full_ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,974,974000000,"974,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,12,instant,,,,,,,,f-36
ifrs-full_ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,997,997000000,"997,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,12,instant,,,,,,,,f-37
ifrs-full_ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,585,585000000,"585,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,12,instant,,,,,,,,f-38
ifrs-full_DistributionAndAdministrativeExpense,16417,16417000000,"16,417,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,13,instant,,,,,,,,f-39
ifrs-full_DistributionAndAdministrativeExpense,16772,16772000000,"16,772,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,13,instant,,,,,,,,f-40
ifrs-full_DistributionAndAdministrativeExpense,13449,13449000000,"13,449,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,13,instant,,,,,,,,f-41
ifrs-full_ProfitLossFromOperatingActivities,11297,11297000000,"11,297,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,14,instant,,,,,,,,f-42
ifrs-full_ProfitLossFromOperatingActivities,27348,27348000000,"27,348,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,14,instant,,,,,,,,f-43
ifrs-full_ProfitLossFromOperatingActivities,18039,18039000000,"18,039,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,14,instant,,,,,,,,f-44
ifrs-full_FinanceCosts,4683,4683000000,"4,683,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,15,instant,,,,,,,,f-45
ifrs-full_FinanceCosts,3840,3840000000,"3,840,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,15,instant,,,,,,,,f-46
ifrs-full_FinanceCosts,2703,2703000000,"2,703,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,15,instant,,,,,,,,f-47
ifrs-full_InterestExpenseIncomeDefinedBenefitPlans,168,168000000,"168,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,16,instant,,,,,,,,f-48
ifrs-full_InterestExpenseIncomeDefinedBenefitPlans,241,241000000,"241,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,16,instant,,,,,,,,f-49
ifrs-full_InterestExpenseIncomeDefinedBenefitPlans,69,69000000,"69,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,16,instant,,,,,,,,f-50
ifrs-full_ProfitLossBeforeTax,6782,6782000000,"6,782,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,17,instant,,,,,,,,f-51
ifrs-full_ProfitLossBeforeTax,23749,23749000000,"23,749,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,17,instant,,,,,,,,f-52
ifrs-full_ProfitLossBeforeTax,15405,15405000000,"15,405,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,17,instant,,,,,,,,f-53
ifrs-full_ProfitLossBeforeTax,6782,6782000000,"6,782,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,17,instant,,,,,,,,f-592
ifrs-full_ProfitLossBeforeTax,23749,23749000000,"23,749,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,17,instant,,,,,,,,f-593
ifrs-full_ProfitLossBeforeTax,15405,15405000000,"15,405,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,17,instant,,,,,,,,f-594
ifrs-full_IncomeTaxExpenseContinuingOperations,5553,5553000000,"5,553,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,18,instant,,,,,,,,f-54
ifrs-full_IncomeTaxExpenseContinuingOperations,7869,7869000000,"7,869,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,18,instant,,,,,,,,f-55
ifrs-full_IncomeTaxExpenseContinuingOperations,16762,16762000000,"16,762,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,18,instant,,,,,,,,f-56
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-57
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-58
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-59
