concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,—,—,—,c-42,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-330
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,—,—,—,c-43,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-331
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,—,—,—,c-44,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-332
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,—,—,—,c-45,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-333
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,1,1000000,"1,000,000",c-46,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-334
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,1,1000000,"1,000,000",c-47,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-335
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,—,—,—,c-48,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-336
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,—,—,—,c-49,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-337
bpplc_ShareOfEquityAccountedEntitiesChangesInEquityNetOfTax,1,1000000,"1,000,000",c-2,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,f-338
bpplc_IssueOfPerpetualHybridBonds,—,—,—,c-16,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-213
bpplc_IssueOfPerpetualHybridBonds,—,—,—,c-17,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-214
bpplc_IssueOfPerpetualHybridBonds,—,—,—,c-18,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-215
bpplc_IssueOfPerpetualHybridBonds,—,—,—,c-19,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-216
bpplc_IssueOfPerpetualHybridBonds,22,22000000,"22,000,000",c-20,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-217
bpplc_IssueOfPerpetualHybridBonds,22,22000000,"22,000,000",c-21,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-218
bpplc_IssueOfPerpetualHybridBonds,4352,4352000000,"4,352,000,000",c-22,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-219
bpplc_IssueOfPerpetualHybridBonds,—,—,—,c-23,u-1,-6,1000000,3,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,f-220
