concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-57
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-58
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-59
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-66
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-67
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-68
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-81
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-82
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-83
ifrs-full_ProfitLoss,—,—,—,c-16,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-150
ifrs-full_ProfitLoss,—,—,—,c-17,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-151
ifrs-full_ProfitLoss,—,—,—,c-18,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-152
ifrs-full_ProfitLoss,—,—,—,c-19,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-153
ifrs-full_ProfitLoss,381,381000000,"381,000,000",c-20,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-154
ifrs-full_ProfitLoss,381,381000000,"381,000,000",c-21,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-155
ifrs-full_ProfitLoss,641,641000000,"641,000,000",c-22,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-156
ifrs-full_ProfitLoss,207,207000000,"207,000,000",c-23,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-157
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-158
ifrs-full_ProfitLoss,—,—,—,c-42,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-267
ifrs-full_ProfitLoss,—,—,—,c-43,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-268
ifrs-full_ProfitLoss,—,—,—,c-44,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-269
ifrs-full_ProfitLoss,—,—,—,c-45,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-270
ifrs-full_ProfitLoss,15239,15239000000,"15,239,000,000",c-46,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-271
ifrs-full_ProfitLoss,15239,15239000000,"15,239,000,000",c-47,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-272
ifrs-full_ProfitLoss,586,586000000,"586,000,000",c-48,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-273
ifrs-full_ProfitLoss,55,55000000,"55,000,000",c-49,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-274
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-275
ifrs-full_ProfitLoss,—,—,—,c-59,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-384
ifrs-full_ProfitLoss,—,—,—,c-60,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-385
ifrs-full_ProfitLoss,—,—,—,c-61,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-386
ifrs-full_ProfitLoss,—,—,—,c-62,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-387
ifrs-full_ProfitLoss,2487,2487000000,"2,487,000,000",c-63,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-388
ifrs-full_ProfitLoss,2487,2487000000,"2,487,000,000",c-64,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-389
ifrs-full_ProfitLoss,519,519000000,"519,000,000",c-65,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-390
ifrs-full_ProfitLoss,611,611000000,"611,000,000",c-66,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-391
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,f-392
