concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_DisclosureOfAuthorisationOfFinancialStatementsExplanatory,The n Ken,The n Ken,The n Ken,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-1
ifrs-full_DisclosureOfMaterialAccountingPolicyInformationExplanatory,"Note 1 Accounting policies, judgements an General information","Note 1 Accounting policies, judgements an General information","Note 1 Accounting policies, judgements an General information",c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-727
ifrs-full_DisclosureOfGeneralInformationAboutFinancialStatementsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-862
ifrs-full_NameOfReportingEntityOrOtherMeansOfIdentification,T,T,T,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-2
ifrs-full_LegalFormOfEntity,public,public,public,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-3
ifrs-full_CountryOfIncorporation,E,E,E,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-4
ifrs-full_DomicileOfEntity,Wales,Wales,Wales,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-702
ifrs-full_AddressOfRegisteredOfficeOfEntity,T,T,T,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-5
ifrs-full_DescriptionOfNatureOfEntitysOperationsAndPrincipalActivities,The m and rel,The m and rel,The m and rel,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-6
ifrs-full_DisclosureOfBasisOfPreparationOfFinancialStatementsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-728
ifrs-full_StatementOfIFRSCompliance,The c IFR,The c IFR,The c IFR,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-777
ifrs-full_DescriptionOfAccountingPolicyForFunctionalCurrencyExplanatory,The consoli round,The consoli round,The consoli round,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-820
ifrs-full_DisclosureOfGoingConcernExplanatory,The D the C,The D the C,The D the C,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-778
ifrs-full_DisclosureOfChangesInAccountingPoliciesAccountingEstimatesAndErrorsExplanatory,Stand not h,Stand not h,Stand not h,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-863
ifrs-full_DescriptionOfInitialApplicationOfStandardsOrInterpretations,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-821
ifrs-full_DisclosureOfChangesInAccountingPoliciesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-878
ifrs-full_DescriptionOfExpectedImpactOfInitialApplicationOfNewStandardsOrInterpretations,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-849
ifrs-full_DescriptionOfAccountingPolicyForDiscontinuedOperationsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-779
ifrs-full_DescriptionOfAccountingPolicyForNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleAndDiscontinuedOperationsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-864
ifrs-full_DescriptionOfAccountingPolicyForSegmentReportingExplanatory,Segmental reporting Following t,Segmental reporting Following t,Segmental reporting Following t,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-865
ifrs-full_DisclosureOfBasisOfConsolidationExplanatory,Basis o The consol,Basis o The consol,Basis o The consol,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-729
ifrs-full_DescriptionOfAccountingPolicyForRecognitionOfRevenue,Reve Revenue is in,Reve Revenue is in,Reve Revenue is in,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-730
ifrs-full_DescriptionOfAccountingPolicyForCustomerLoyaltyProgrammesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-780
ifrs-full_DescriptionOfAccountingPolicyForFeeAndCommissionIncomeAndExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-781
tescoplc_DescriptionOfAccountingPolicyForCommercialIncome,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-731
ifrs-full_DescriptionOfAccountingPolicyForFinanceIncomeAndCostsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-732
ifrs-full_DescriptionOfAccountingPolicyForBorrowingCostsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-822
ifrs-full_DescriptionOfAccountingPolicyForFinanceCostsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-850
ifrs-full_DescriptionOfAccountingPolicyForBusinessCombinationsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-782
ifrs-full_DescriptionOfAccountingPolicyForGoodwillExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-823
ifrs-full_DescriptionOfAccountingPolicyForBusinessCombinationsAndGoodwillExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-733
ifrs-full_DescriptionOfAccountingPolicyForIntangibleAssetsOtherThanGoodwillExplanatory,Intangible assets,Intangible assets,Intangible assets,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-734
ifrs-full_DescriptionOfAccountingPolicyForIntangibleAssetsAndGoodwillExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-824
ifrs-full_DescriptionOfAccountingPolicyForResearchAndDevelopmentExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-866
ifrs-full_DescriptionOfAccountingPolicyForPropertyPlantAndEquipmentExplanatory,Pro Prop,Pro Prop,Pro Prop,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-735
ifrs-full_DescriptionOfAccountingPolicyForDepreciationExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-783
ifrs-full_DescriptionOfAccountingPolicyForImpairmentOfNonfinancialAssetsExplanatory,Impairment of Go,Impairment of Go,Impairment of Go,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-736
ifrs-full_DescriptionOfAccountingPolicyForImpairmentOfAssetsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-851
ifrs-full_DescriptionOfAccountingPolicyForMeasuringInventories,Invent Inv,Invent Inv,Invent Inv,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-737
ifrs-full_DescriptionOfAccountingPolicyToDetermineComponentsOfCashAndCashEquivalents,Ca Cas,Ca Cas,Ca Cas,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-738
ifrs-full_DescriptionOfAccountingPolicyForNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-873
ifrs-full_DescriptionOfAccountingPolicyForLeasesExplanatory,Leases The G,Leases The G,Leases The G,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-739
ifrs-full_DescriptionOfAccountingPolicyForCashFlowsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-784
ifrs-full_DescriptionOfAccountingPolicyForEmployeeBenefitsExplanatory,Post For,Post For,Post For,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-740
ifrs-full_DescriptionOfAccountingPolicyForIncomeTaxExplanatory,T The tax expense,T The tax expense,T The tax expense,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-743
ifrs-full_DescriptionOfAccountingPolicyForDeferredIncomeTaxExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-786
ifrs-full_DescriptionOfAccountingPolicyForForeignCurrencyTranslationExplanatory,Foreig At e,Foreig At e,Foreig At e,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-741
ifrs-full_DescriptionOfAccountingPolicyForFinancialInstrumentsExplanatory,Financia Finan,Financia Finan,Financia Finan,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-742
ifrs-full_DescriptionOfAccountingPolicyForFinancialAssetsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-825
ifrs-full_DescriptionOfAccountingPolicyForTradeAndOtherReceivablesExplanatory,T T,T T,T T,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-785
ifrs-full_DescriptionOfAccountingPolicyForInvestmentsOtherThanInvestmentsAccountedForUsingEquityMethodExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-787
ifrs-full_DescriptionOfAccountingPolicyForFinancialInstrumentsAtFairValueThroughProfitOrLossExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-867
ifrs-full_DescriptionOfAccountingPolicyForImpairmentOfFinancialAssetsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-874
ifrs-full_DescriptionOfAccountingPolicyForBorrowingsExplanatory,Borrowings Bor,Borrowings Bor,Borrowings Bor,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-789
ifrs-full_DescriptionOfAccountingPolicyForFinancialLiabilitiesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-826
ifrs-full_DescriptionOfAccountingPolicyForTradeAndOtherPayablesExplanatory,T T,T T,T T,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-788
