concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_ProfitLossFromOperatingActivities,3 1 28,3 1 28,3 1 28,c-2,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-55
ifrs-full_ProfitLossFromOperatingActivities,417,417000000,"417,000,000",c-3,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-56
ifrs-full_ProfitLossFromOperatingActivities,27 11,27 11,27 11,c-1,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-57
ifrs-full_ProfitLossFromOperatingActivities,2 829,2 829,2 829,c-4,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-58
ifrs-full_ProfitLossFromOperatingActivities,8,8000000,"8,000,000",c-5,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-59
ifrs-full_ProfitLossFromOperatingActivities,2 821,2 821,2 821,c-6,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-60
ifrs-full_ProfitLossFromOperatingActivities,2 711,2 711,2 711,c-1,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-586
ifrs-full_ProfitLossFromOperatingActivities,2 821,2 821,2 821,c-6,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-587
ifrs-full_ProfitLossFromOperatingActivities,35,35000000,"35,000,000",c-40,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-588
ifrs-full_ProfitLossFromOperatingActivities,659,659000000,"659,000,000",c-41,u-1,-6,1000000,2,tescoplc_StatementOfCashFlowsLineItems,0,instant,,,,,,,,fact-589
