concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_ProfitLoss,1989,1989000000,"1,989,000,000",c-2,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-103
ifrs-full_ProfitLoss,359,359000000,"359,000,000",c-3,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-104
ifrs-full_ProfitLoss,16 30,16 30,16 30,c-1,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-105
ifrs-full_ProfitLoss,1  74 0,1  74 0,1  74 0,c-4,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-106
ifrs-full_ProfitLoss,548,548000000,"548,000,000",c-5,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-107
ifrs-full_ProfitLoss,1 1 9 2,1 1 9 2,1 1 9 2,c-6,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-108
ifrs-full_ProfitLoss,1989,1989000000,"1,989,000,000",c-2,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-715
ifrs-full_ProfitLoss,359,359000000,"359,000,000",c-3,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-716
ifrs-full_ProfitLoss,16 30,16 30,16 30,c-1,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-717
ifrs-full_ProfitLoss,1  74 0,1  74 0,1  74 0,c-4,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-718
ifrs-full_ProfitLoss,548,548000000,"548,000,000",c-5,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-719
ifrs-full_ProfitLoss,1 1 9 2,1 1 9 2,1 1 9 2,c-6,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-720
ifrs-full_ProfitLoss,16 30,16 30,16 30,c-1,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-147
ifrs-full_ProfitLoss,1 19 2,1 19 2,1 19 2,c-6,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-148
ifrs-full_ProfitLoss,-,-,-,c-15,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-264
ifrs-full_ProfitLoss,-,-,-,c-16,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-265
ifrs-full_ProfitLoss,-,-,-,c-17,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-266
ifrs-full_ProfitLoss,1626,1626000000,"1,626,000,000",c-18,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-267
ifrs-full_ProfitLoss,1626,1626000000,"1,626,000,000",c-19,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-268
ifrs-full_ProfitLoss,4,4000000,"4,000,000",c-20,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-269
ifrs-full_ProfitLoss,1 630,1 630,1 630,c-1,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-270
ifrs-full_ProfitLoss,-,-,-,c-34,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-425
ifrs-full_ProfitLoss,-,-,-,c-35,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-426
ifrs-full_ProfitLoss,-,-,-,c-36,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-427
ifrs-full_ProfitLoss,1 188,1 188,1 188,c-37,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-428
ifrs-full_ProfitLoss,1 188,1 188,1 188,c-38,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-429
ifrs-full_ProfitLoss,4,4000000,"4,000,000",c-39,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-430
ifrs-full_ProfitLoss,1 1 9 2,1 1 9 2,1 1 9 2,c-6,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,1,instant,,,,,,,,fact-431
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,-,-,-,c-15,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-320
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,-,-,-,c-16,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-321
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,7,7000000,"7,000,000",c-17,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-322
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,96,96000000,"96,000,000",c-18,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-323
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,89,89000000,"89,000,000",c-19,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-324
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,-,-,-,c-20,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-325
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,89,89000000,"89,000,000",c-1,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-326
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,-,-,-,c-34,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-488
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,-,-,-,c-35,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-489
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,4,4000000,"4,000,000",c-36,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-490
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,60,60000000,"60,000,000",c-37,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-491
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,56,56000000,"56,000,000",c-38,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-492
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,-,-,-,c-39,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-493
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome,56,56000000,"56,000,000",c-6,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,10,instant,,,,,,,,fact-494
ifrs-full_OtherComprehensiveIncome,230,230000000,"230,000,000",c-1,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,fact-145
ifrs-full_OtherComprehensiveIncome,367,367000000,"367,000,000",c-6,u-1,-6,1000000,2,ifrs-full_StatementOfChangesInEquityLineItems,11,instant,,,,,,,,fact-146
