concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments,4,4000000,"4,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,0,instant,,,,,,,,fact-117
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments,-,-,-,c-6,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,0,instant,,,,,,,,fact-118
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,387,387000000,"387,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-119
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,251,251000000,"251,000,000",c-6,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-120
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-15,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-292
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-16,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-293
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-17,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-294
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,387,387000000,"387,000,000",c-18,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-295
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,3 87,3 87,3 87,c-19,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-296
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-20,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-297
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,387,387000000,"387,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-298
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-34,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-453
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-35,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-454
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-36,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-455
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,251,251000000,"251,000,000",c-37,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-456
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,251,251000000,"251,000,000",c-38,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-457
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,-,-,-,c-39,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-458
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,251,251000000,"251,000,000",c-6,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,1,instant,,,,,,,,fact-459
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,-,-,-,c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-137
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,4,4000000,"4,000,000",c-6,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-138
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,-,-,-,c-34,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-474
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,-,-,-,c-35,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-475
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,4,4000000,"4,000,000",c-36,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-476
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,-,-,-,c-37,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-477
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,4,4000000,"4,000,000",c-38,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-478
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,-,-,-,c-39,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-479
ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLossBeforeTax,4,4000000,"4,000,000",c-6,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,10,instant,,,,,,,,fact-480
ifrs-full_FinanceIncomeExpensesFromReinsuranceContractsHeldExcludedFromProfitOrLossBeforeTax,1,1000000,"1,000,000",c-1,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,11,instant,,,,,,,,fact-139
ifrs-full_FinanceIncomeExpensesFromReinsuranceContractsHeldExcludedFromProfitOrLossBeforeTax,1,1000000,"1,000,000",c-6,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,11,instant,,,,,,,,fact-140
ifrs-full_FinanceIncomeExpensesFromReinsuranceContractsHeldExcludedFromProfitOrLossBeforeTax,-,-,-,c-15,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,11,instant,,,,,,,,fact-313
ifrs-full_FinanceIncomeExpensesFromReinsuranceContractsHeldExcludedFromProfitOrLossBeforeTax,-,-,-,c-16,u-1,-6,1000000,1,ifrs-full_StatementOfComprehensiveIncomeAbstract,11,instant,,,,,,,,fact-314
