concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_IntangibleAssetsAndGoodwill,50 87,50 87,50 87,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,0,instant,,2025-02-22,,,,,,fact-157
ifrs-full_IntangibleAssetsAndGoodwill,50 6 6,50 6 6,50 6 6,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,0,instant,,2024-02-24,,,,,,fact-158
ifrs-full_PropertyPlantAndEquipment,17 262,17 262,17 262,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,1,instant,,2025-02-22,,,,,,fact-159
ifrs-full_PropertyPlantAndEquipment,1 7 2 2 1,1 7 2 2 1,1 7 2 2 1,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,1,instant,,2024-02-24,,,,,,fact-160
ifrs-full_DeferredTaxAssets,47,47000000,"47,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,10,instant,,2025-02-22,,,,,,fact-177
ifrs-full_DeferredTaxAssets,32,32000000,"32,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,10,instant,,2024-02-24,,,,,,fact-178
ifrs-full_NoncurrentAssets,3003 4,3003 4,3003 4,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,11,instant,,2025-02-22,,,,,,fact-179
ifrs-full_NoncurrentAssets,3 043 3,3 043 3,3 043 3,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,11,instant,,2024-02-24,,,,,,fact-180
tescoplc_OtherInvestmentsCurrent,151,151000000,"151,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,12,instant,,2025-02-22,,,,,,fact-181
tescoplc_OtherInvestmentsCurrent,206,206000000,"206,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,12,instant,,2024-02-24,,,,,,fact-182
ifrs-full_Inventories,2 76 8,2 76 8,2 76 8,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,13,instant,,2025-02-22,,,,,,fact-183
ifrs-full_Inventories,26 35,26 35,26 35,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,13,instant,,2024-02-24,,,,,,fact-184
ifrs-full_TradeAndOtherCurrentReceivables,121 0,121 0,121 0,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,14,instant,,2025-02-22,,,,,,fact-185
ifrs-full_TradeAndOtherCurrentReceivables,1 349,1 349,1 349,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,14,instant,,2024-02-24,,,,,,fact-186
ifrs-full_CurrentDerivativeFinancialAssets,172,172000000,"172,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,15,instant,,2025-02-22,,,,,,fact-187
ifrs-full_CurrentDerivativeFinancialAssets,55,55000000,"55,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,15,instant,,2024-02-24,,,,,,fact-188
ifrs-full_CurrentTaxAssets,27,27000000,"27,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,16,instant,,2025-02-22,,,,,,fact-189
ifrs-full_CurrentTaxAssets,11 0,11 0,11 0,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,16,instant,,2024-02-24,,,,,,fact-190
ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,2 223,2 223,2 223,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,17,instant,,2025-02-22,,,,,,fact-191
ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,2 12 8,2 12 8,2 12 8,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,17,instant,,2024-02-24,,,,,,fact-192
ifrs-full_CashAndCashEquivalents,2 255,2 255,2 255,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,18,instant,,2025-02-22,,,,,,fact-193
ifrs-full_CashAndCashEquivalents,23 40,23 40,23 40,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,18,instant,,2024-02-24,,,,,,fact-194
ifrs-full_CurrentAssetsOtherThanAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,8806,8806000000,"8,806,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,19,instant,,2025-02-22,,,,,,fact-195
ifrs-full_CurrentAssetsOtherThanAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,8 823,8 823,8 823,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,19,instant,,2024-02-24,,,,,,fact-196
ifrs-full_RightofuseAssets,5569,5569000000,"5,569,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,2,instant,,2025-02-22,,,,,,fact-161
ifrs-full_RightofuseAssets,5 478,5 478,5 478,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,2,instant,,2024-02-24,,,,,,fact-162
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,50,50000000,"50,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,20,instant,,2025-02-22,,,,,,fact-197
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,7 7 8 3,7 7 8 3,7 7 8 3,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,20,instant,,2024-02-24,,,,,,fact-198
ifrs-full_CurrentAssets,8856,8856000000,"8,856,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,21,instant,,2025-02-22,,,,,,fact-199
